start,end,duration_seconds,duration_minutes,app,device_id
2026-04-08T09:39:44.485578+02:00,2026-04-08T09:42:12.872347+02:00,148,2.47,com.toyopagroup.picaboo,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T09:51:21.594781+02:00,2026-04-08T09:56:32.373438+02:00,310,5.17,com.toyopagroup.picaboo,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T10:17:33.819276+02:00,2026-04-08T10:17:40.378005+02:00,6,0.1,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T10:17:40.378005+02:00,2026-04-08T10:17:44.630309+02:00,4,0.07,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T10:57:39.820220+02:00,2026-04-08T10:57:40.740568+02:00,0,0.0,com.apple.mobileslideshow,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T10:57:40.740568+02:00,2026-04-08T10:57:41.211071+02:00,0,0.0,com.apple.mobileslideshow,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T10:57:41.227275+02:00,2026-04-08T10:57:52.878231+02:00,11,0.18,com.google.Gmail,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:04:41.921510+02:00,2026-04-08T11:04:44.899024+02:00,2,0.03,com.google.Gmail,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:04:45.619555+02:00,2026-04-08T11:04:49.847465+02:00,4,0.07,com.microsoft.Office.Outlook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:04:49.951285+02:00,2026-04-08T11:04:53.129454+02:00,3,0.05,com.microsoft.Office.Outlook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:04:54.754107+02:00,2026-04-08T11:06:56.478598+02:00,121,2.02,com.woltapp.wolt,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:08:18.549611+02:00,2026-04-08T11:09:43.699306+02:00,85,1.42,com.woltapp.wolt,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:11:32.751212+02:00,2026-04-08T11:12:13.837418+02:00,41,0.68,com.woltapp.wolt,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:13:45.611265+02:00,2026-04-08T11:14:16.729271+02:00,31,0.52,com.hammerandchisel.discord,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:14:16.751874+02:00,2026-04-08T11:14:19.236620+02:00,2,0.03,com.toyopagroup.picaboo,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:14:19.256750+02:00,2026-04-08T11:14:22.428308+02:00,3,0.05,com.hammerandchisel.discord,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:14:22.428308+02:00,2026-04-08T11:14:51.875235+02:00,29,0.48,com.google.chrome.ios,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:14:52.725621+02:00,2026-04-08T11:16:07.503513+02:00,74,1.23,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:19:14.906373+02:00,2026-04-08T11:19:15.052202+02:00,0,0.0,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:19:15.052202+02:00,2026-04-08T11:19:24.513045+02:00,9,0.15,com.woltapp.wolt,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:19:26.579401+02:00,2026-04-08T11:19:43.271512+02:00,16,0.27,com.woltapp.wolt,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:19:43.271512+02:00,2026-04-08T11:20:09.736207+02:00,26,0.43,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:20:22.016131+02:00,2026-04-08T11:20:48.249675+02:00,26,0.43,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
